sequence,id,sourcePath,stem,curriculum,optionCount,correctOptionCount,missingExplanation,missingCitations,missingTags,unclassified
46,4ba379c5-9e3f-469b-a435-47badcb27482,questions/4ba379c5-9e3f-469b-a435-47badcb27482.json,Question was either... what’s the percentage who test positive for the disease who actually have the disease (PPV)? OR was what’s the probability that the pt will have a +ve test result if they have the disease (sensitivity)?,Unclassified,3,0,true,true,true,true
47,4bf82cae-d685-4585-abf6-257f7e8d384c,questions/4bf82cae-d685-4585-abf6-257f7e8d384c.json,What has the best evidence for the use of oral corticosteroids:,Unclassified,4,0,true,true,true,true
48,4f6fd61b-0965-48dc-8891-d71cff35605d,questions/4f6fd61b-0965-48dc-8891-d71cff35605d.json,Hip question:,Unclassified,6,0,true,true,true,true
49,5011714e-3619-4190-b403-71e78245eec9,questions/5011714e-3619-4190-b403-71e78245eec9.json,answers:,Paediatric Surgery,4,0,true,true,false,false
50,5190a0d2-82e5-4d51-809c-c1edb3332ccb,questions/5190a0d2-82e5-4d51-809c-c1edb3332ccb.json,Infections:,General Paediatrics,9,0,true,true,false,false
51,538dcf77-d792-4bfe-917c-c440624a8d00,questions/538dcf77-d792-4bfe-917c-c440624a8d00.json,Immunisations,Unclassified,8,0,true,true,true,true
52,553cd3e9-309a-44df-ba71-7c8cfe16a667,questions/553cd3e9-309a-44df-ba71-7c8cfe16a667.json,"child has HIV, dad wants to know how common this is.",Unclassified,4,0,true,true,true,true
53,57a0dde8-d941-44cb-9eb8-8c5136bc5042,questions/57a0dde8-d941-44cb-9eb8-8c5136bc5042.json,Tetanus - rusty nail in 4 year old with 4,Unclassified,5,0,true,true,true,true
54,594b2485-e1a1-4090-ae73-a7af269613f9,questions/594b2485-e1a1-4090-ae73-a7af269613f9.json,Asthma medications: match class to drug:,Unclassified,9,0,true,true,true,true
55,59a9a3f9-13c3-4636-8654-fb8f9df3e4d5,questions/59a9a3f9-13c3-4636-8654-fb8f9df3e4d5.json,ED/abdo question; what test would you like to do:,Paediatric Sub-specialties,8,0,true,true,false,false
56,5a0f72b2-f422-43fc-a5a4-ef1c049e0d74,questions/5a0f72b2-f422-43fc-a5a4-ef1c049e0d74.json,GI,Paediatric Surgery,4,0,true,true,false,false
57,5a3e3525-2793-45c4-9cd2-ef7979b6646a,questions/5a3e3525-2793-45c4-9cd2-ef7979b6646a.json,Which of the following is the most useful in determining the presence of a foreign body in the airways of an 18 month old?,Unclassified,4,0,true,true,true,true
58,5d9b4df5-a56d-42bd-9469-10d3455d9669,questions/5d9b4df5-a56d-42bd-9469-10d3455d9669.json,5 year old boy developed loud breathing and cough. His mother gave him salbumatol 4 times but did not improve. His loud breathing (not sure if wheeze or stridor in original question) was persistent. An expiratory CXR showed a hyperinflated lung that did not decrease in size on expiration CXR (can’t remember if bilateral or unilateral air trapping – anyone?).,Emergency Paediatrics,5,0,true,true,false,false
59,5dfc1313-2784-436b-80b1-5d60da83e545,questions/5dfc1313-2784-436b-80b1-5d60da83e545.json,Which is least important in transitioning from paediatric to adult care?,Unclassified,3,0,true,true,true,true
60,6077ae60-6cf3-410d-9316-23443f8d496d,questions/6077ae60-6cf3-410d-9316-23443f8d496d.json,Infections:,General Paediatrics,9,0,true,true,false,false
61,627cb88b-f754-4150-83a5-a603523993ce,questions/627cb88b-f754-4150-83a5-a603523993ce.json,Kid with seizure – what makes it most likely to be a brain injury,Unclassified,3,0,true,true,true,true
62,631c8bdf-3b7d-4419-8bd5-9bf66dad4fcb,questions/631c8bdf-3b7d-4419-8bd5-9bf66dad4fcb.json,What percentage of JIA presents with systemic illness:,Paediatric Sub-specialties,5,0,true,true,false,false
63,64f1f2cf-2ace-4915-869b-0bbbe9b70ee2,questions/64f1f2cf-2ace-4915-869b-0bbbe9b70ee2.json,Vomiting question:,Unclassified,6,0,true,true,true,true
64,66090801-2df2-4233-a808-d5535c83ada1,questions/66090801-2df2-4233-a808-d5535c83ada1.json,Which of the following is the most likely to decrease the risk of adolescent smoking:,Adolescent Medicine,5,0,true,true,false,false
65,6692cf35-bf8e-4a00-867a-fbf9baab1690,questions/6692cf35-bf8e-4a00-867a-fbf9baab1690.json,Which of the following causes a fixed split second heart sound?,Unclassified,5,0,true,true,true,true
66,67fb18ec-106f-4374-bdfb-fc7ef790f7ab,questions/67fb18ec-106f-4374-bdfb-fc7ef790f7ab.json,Which of the following is a domain of the AGREE II tool?,Unclassified,5,0,true,true,true,true
67,687bde9e-74f4-4dba-b1c0-050352c33586,questions/687bde9e-74f4-4dba-b1c0-050352c33586.json,Child (2 yo) with iron deficiency anaemia drinking 2L of cow’s milk a day. Given blood results. Management?,Unclassified,5,0,true,true,true,true
68,68d5cf8f-1d64-4d99-bbb9-084287e446d7,questions/68d5cf8f-1d64-4d99-bbb9-084287e446d7.json,Gram stain,Unclassified,2,0,true,true,true,true
69,6b5d7df6-41fe-404a-b6d1-447963fa8e1a,questions/6b5d7df6-41fe-404a-b6d1-447963fa8e1a.json,answers:,General Paediatrics,6,0,true,true,false,false
70,6b6e8a0d-af95-4835-9d52-2a25843dcf56,questions/6b6e8a0d-af95-4835-9d52-2a25843dcf56.json,"A 4 year old boy initially presented with fever and cough, but came back 7 days later with continued fever, cervical LN, conjunctivitis, rash, swollen hands. What is the most significant complication of this disease?",Emergency Paediatrics,5,0,true,true,false,false
71,6c3243cb-1bc3-4933-be5d-9d6c914d4077,questions/6c3243cb-1bc3-4933-be5d-9d6c914d4077.json,Mother calls asking for advice after kid spilt hot coffee on themselves,Unclassified,4,0,true,true,true,true
72,6c737807-9bd2-4c91-bc85-7561114baad7,questions/6c737807-9bd2-4c91-bc85-7561114baad7.json,Glu – cant remember (important since Glucose < 0.3 CSF/blood is suggestive of bacterial meningitis),Emergency Paediatrics,5,0,true,true,false,false
73,6dd72a48-eb77-4bec-b279-6929b7f08fd1,questions/6dd72a48-eb77-4bec-b279-6929b7f08fd1.json,answers:,Emergency Paediatrics,5,0,true,true,false,false
74,70711fe7-ec46-4c25-badf-ea18ca7a5651,questions/70711fe7-ec46-4c25-badf-ea18ca7a5651.json,Respiratory,Unclassified,5,0,true,true,true,true
75,7190d6e1-39eb-46e9-945c-e86f104c0f7c,questions/7190d6e1-39eb-46e9-945c-e86f104c0f7c.json,Asthma medications,Unclassified,5,0,true,true,true,true
76,71aa79f9-06b1-4736-84b5-8d82ab63595d,questions/71aa79f9-06b1-4736-84b5-8d82ab63595d.json,Which drug should not be given to children with renal failure:,Paediatric Sub-specialties,5,0,true,true,false,false
77,72ec78d6-71f5-42a3-b258-b07a445d285a,questions/72ec78d6-71f5-42a3-b258-b07a445d285a.json,Gram stains,Unclassified,8,0,true,true,true,true
78,776d9593-5be0-4ad8-a3a7-df3d83ffd0b6,questions/776d9593-5be0-4ad8-a3a7-df3d83ffd0b6.json,selection of resuscitation (or it may have been maintenance) fluids,Unclassified,4,0,true,true,true,true
79,77df38e1-bd61-4f7d-8d39-b7745839883b,questions/77df38e1-bd61-4f7d-8d39-b7745839883b.json,Hip pain,Paediatric Surgery,6,0,true,true,false,false
80,7dc86c47-00e8-4c32-811d-b5d5ff1f7786,questions/7dc86c47-00e8-4c32-811d-b5d5ff1f7786.json,Hearing/autism,Unclassified,8,0,true,true,true,true
81,809655c1-b2ab-470c-9d60-b8996ed9583c,questions/809655c1-b2ab-470c-9d60-b8996ed9583c.json,Propranolol is used for migraine in kids. Which of the following is not a contraindication for propranolol use.,Paediatric Sub-specialties,5,0,true,true,false,false
82,816f1a17-0593-41f2-82cf-0a883dfd8e23,questions/816f1a17-0593-41f2-82cf-0a883dfd8e23.json,Surgery,Paediatric Surgery,6,0,true,true,false,false
83,828f5b21-481e-4ddd-af2e-beb649e0a566,questions/828f5b21-481e-4ddd-af2e-beb649e0a566.json,Wheeze:,Emergency Paediatrics,7,0,true,true,false,false
84,830cc782-b8e6-4529-bb1e-10c05d075e48,questions/830cc782-b8e6-4529-bb1e-10c05d075e48.json,"Given antibiotic guidelines for hospital, not really helpful",Unclassified,5,0,true,true,true,true
85,84873998-ec18-432e-a434-359bdbf23550,questions/84873998-ec18-432e-a434-359bdbf23550.json,"You are an intern. The registrar asks you ‘yo homie fill her up with ""half maintenance fluids”’. What do you chart?",Unclassified,5,0,true,true,true,true
86,849d231e-eb8c-4b1a-9f21-ba84e25f8fac,questions/849d231e-eb8c-4b1a-9f21-ba84e25f8fac.json,"Child presents with a sub-mandibular lump as well as inguinal lumps, red lips, vomiting",Unclassified,5,0,true,true,true,true
87,84f2a12c-248c-498b-910c-8c2e69673c0b,questions/84f2a12c-248c-498b-910c-8c2e69673c0b.json,Fluids,Unclassified,7,0,true,true,true,true
88,88aaded7-333d-4792-a860-19e5483edda7,questions/88aaded7-333d-4792-a860-19e5483edda7.json,Number of items in AGREE II criteria,Unclassified,5,0,true,true,true,true
89,8ab72c0a-8ee4-4e3b-87fc-b384ba2dc33e,questions/8ab72c0a-8ee4-4e3b-87fc-b384ba2dc33e.json,What is true of JIA? Patient is 2yo,Paediatric Sub-specialties,3,0,true,true,false,false
90,8ba3e196-c079-4d13-a105-ad120076d1b1,questions/8ba3e196-c079-4d13-a105-ad120076d1b1.json,Genetics,Unclassified,7,0,true,true,true,true
91,8d1d6380-1caa-4538-8c01-727a1273620a,questions/8d1d6380-1caa-4538-8c01-727a1273620a.json,Asthma medications: match class to drug:,Unclassified,9,0,true,true,true,true
92,8f9175db-6f73-437f-9bcf-76e4071a8ebe,questions/8f9175db-6f73-437f-9bcf-76e4071a8ebe.json,Vomiting in the older child,General Paediatrics,3,0,true,true,false,false
93,95044743-062f-4379-8249-095c94dc9f31,questions/95044743-062f-4379-8249-095c94dc9f31.json,Microbiology,Unclassified,3,0,true,true,true,true
94,9734684e-7f0c-42e8-a124-b8477bee4518,questions/9734684e-7f0c-42e8-a124-b8477bee4518.json,Fracture indicative of non-accidental injury,Unclassified,4,0,true,true,true,true
95,9770009f-67d7-439b-96cc-6c8d7c060a24,questions/9770009f-67d7-439b-96cc-6c8d7c060a24.json,answers:,Paediatric Surgery,5,0,true,true,false,false
96,98010d8a-2e3f-45f7-9382-878c073d9792,questions/98010d8a-2e3f-45f7-9382-878c073d9792.json,ED/abdo question; what test would you like to do:,Paediatric Sub-specialties,8,0,true,true,false,false
97,994a04f5-998c-423b-a992-8fc7b6005909,questions/994a04f5-998c-423b-a992-8fc7b6005909.json,http://www.rch.org.au/clinicalguide/cpg.cfm?doc_id=5185,Unclassified,11,0,true,true,true,true
98,9bbb4772-fdbb-4880-b1c3-529db8c8c28e,questions/9bbb4772-fdbb-4880-b1c3-529db8c8c28e.json,Vaccination,Unclassified,8,0,true,true,true,true
99,9e239ecf-e8db-4df9-9c1f-0f33425aec63,questions/9e239ecf-e8db-4df9-9c1f-0f33425aec63.json,"1 month child weighed 5kg, needs maintenance fluids, what do you want to give. Guidelines are;",Unclassified,2,0,true,true,true,true
100,a1f89ee1-9f68-4ef4-8c4d-8a2a66a0b0f3,questions/a1f89ee1-9f68-4ef4-8c4d-8a2a66a0b0f3.json,"7 year old boy, a week of fevers over 39, with red eyes and mouth. He was difficult to cannulate because of puffy hands. He has a generalised macular-papular rash. What is your first treatment:",Unclassified,5,0,true,true,true,true
101,a2c5d6e1-b4bc-411b-b6b9-6a6f04e376e3,questions/a2c5d6e1-b4bc-411b-b6b9-6a6f04e376e3.json,"Calculation of sensitivity and specificity. Children with coeliac. Out of 10 children with confirmed coeliac on biopsy, 9 have anti-endomysial antibodies. Out of the 100 children who do not have coeliac on biopsy, 89 have a negative anti-endomysial AB. What is the sensitivity and specificity",Paediatric Sub-specialties,3,0,true,true,false,false
102,a313cd7d-3f54-4368-aa2a-12db7cbbf504,questions/a313cd7d-3f54-4368-aa2a-12db7cbbf504.json,"1 month child weighed 5kg, needs maintenance fluids, what do you want to give. Guidelines are;",Unclassified,2,0,true,true,true,true
103,a39ebb38-9848-4d04-82d8-7e648ee23119,questions/a39ebb38-9848-4d04-82d8-7e648ee23119.json,"8 y.o. kid cut himself on rusty nail, fully vaccinated including 4x tetanus – best treatment",Unclassified,3,0,true,true,true,true
104,a57d7d58-02cb-49be-b8fc-6f6d74c57790,questions/a57d7d58-02cb-49be-b8fc-6f6d74c57790.json,"A 6 year boy presents with crying, fever and mum noticed some white spots in the mouth. He then developed a red spotty rash starting the face and spreading down into the trunk. What is the diagnosis.",General Paediatrics,5,0,true,true,false,false
105,a7205387-6b6d-451e-8412-fc3c452bd9e0,questions/a7205387-6b6d-451e-8412-fc3c452bd9e0.json,"Kid with vomiting, mum has been giving oral rehydration fluids at 50-100mL/hour. Now hypernatremic, high urea, high creatinine – cause?",Unclassified,4,0,true,true,true,true
106,a95a4740-5900-4d56-91c7-315782727243,questions/a95a4740-5900-4d56-91c7-315782727243.json,Paediatric surgery,Paediatric Surgery,3,0,true,true,false,false
107,aabc6117-6185-46d6-a7c8-4f20a0170675,questions/aabc6117-6185-46d6-a7c8-4f20a0170675.json,Testicles,Paediatric Surgery,6,0,true,true,false,false
108,abb1b0e8-02a7-4552-91a9-198053a352b3,questions/abb1b0e8-02a7-4552-91a9-198053a352b3.json,Mum calls ambulance because her child has split hot coffee over himself. Which of the following is the most common complication of first aid:,Unclassified,5,0,true,true,true,true
109,acaf2222-0763-4e67-995c-7cecc16c29ae,questions/acaf2222-0763-4e67-995c-7cecc16c29ae.json,Food allergy,Paediatric Sub-specialties,6,0,true,true,false,false
110,aeeca2ef-a5ab-4391-ac38-da4905a16673,questions/aeeca2ef-a5ab-4391-ac38-da4905a16673.json,Haematology,Unclassified,7,0,true,true,true,true
111,aefe34b1-46af-44a5-94f6-31dcaf663659,questions/aefe34b1-46af-44a5-94f6-31dcaf663659.json,Risk reduction from 19% to 13%,Unclassified,3,0,true,true,true,true
112,af08691c-1633-4c52-9f98-85612c48ed2d,questions/af08691c-1633-4c52-9f98-85612c48ed2d.json,Ratio of breaths:compressions in paediatric resus with single rescuer,Emergency Paediatrics,4,0,true,true,false,false
113,af18b73f-2b6a-4ef9-9b13-0083981bb306,questions/af18b73f-2b6a-4ef9-9b13-0083981bb306.json,"What is this structure? (picture of ear drum, pointing at top)",Unclassified,5,0,true,true,true,true
114,b03c2534-c754-4623-99ab-a77ed41621c1,questions/b03c2534-c754-4623-99ab-a77ed41621c1.json,"They provide a bunch of random hospital guidelines on use of antibiotics, cant remember.",Unclassified,7,0,true,true,true,true
115,b1443b6e-8f14-4a9d-8262-6fc1113b896f,questions/b1443b6e-8f14-4a9d-8262-6fc1113b896f.json,What do the test for on neonatal screening for CF?,Unclassified,3,0,true,true,true,true
116,b283119a-f71e-4fbf-aedc-ecf5f8fc5875,questions/b283119a-f71e-4fbf-aedc-ecf5f8fc5875.json,Most common reason for presentation in adolescents,Unclassified,6,0,true,true,true,true
117,b29bb8db-678d-4811-823b-2ba486d94334,questions/b29bb8db-678d-4811-823b-2ba486d94334.json,"18m old, just started walking, fell over and hit head. Cried for 10 mins, vomited twice. Has 4cm boggy mass over occiput. Now stable and well + happy. Next course of action?",Emergency Paediatrics,5,0,true,true,false,false
118,b356146b-b1ba-4a55-b9e9-e66a4be51391,questions/b356146b-b1ba-4a55-b9e9-e66a4be51391.json,"Child has a rash with some vesciles, some papules, some pustules. She has come from overseas 2 months ago. She was playing with her cousins on the weekend. Mum wants to know how long the infectious period is:",Unclassified,4,0,true,true,true,true
119,b48c3a36-f683-4876-b193-ba424101516b,questions/b48c3a36-f683-4876-b193-ba424101516b.json,"Kid with diarrhoea and vomiting in ED, vitals stable, kid happy, not feeding but tolerating oral rehydration fluids – best course of action",General Paediatrics,4,0,true,true,false,false
120,b75a30c9-dbd1-4473-a6b4-df186c6b5cd6,questions/b75a30c9-dbd1-4473-a6b4-df186c6b5cd6.json,VBG interpretation for a kid who has picture of pyloric stenosis,Paediatric Surgery,4,0,true,true,false,false
121,b8f48f1f-ec06-4ee9-8236-2cfc98a8852b,questions/b8f48f1f-ec06-4ee9-8236-2cfc98a8852b.json,Vaccinations,Unclassified,6,0,true,true,true,true
122,bd3698cb-32cc-4450-a08b-87e131382c93,questions/bd3698cb-32cc-4450-a08b-87e131382c93.json,Which of the following is the best supporting evidence for Hirschsprung’s disease:,General Paediatrics,5,0,true,true,false,false
123,c07f33ad-74e4-42b3-93f7-afcd550b8d83,questions/c07f33ad-74e4-42b3-93f7-afcd550b8d83.json,"Child, sick, intestinal biopsy showed total villous atrophy",Paediatric Sub-specialties,3,0,true,true,false,false
124,c114c98e-8f26-4a55-832e-a6c2dd069d94,questions/c114c98e-8f26-4a55-832e-a6c2dd069d94.json,Best test in anorexia + correct reasoning,Adolescent Medicine,4,0,true,true,false,false
125,c1b24cac-eaff-432b-9faf-a28c8897c2a5,questions/c1b24cac-eaff-432b-9faf-a28c8897c2a5.json,1 year RCT of Abs for prophylaxis of UTIs. Results were:,Unclassified,2,0,true,true,true,true
126,c214cc51-0343-4296-8010-eeb4da5a4a2e,questions/c214cc51-0343-4296-8010-eeb4da5a4a2e.json,Vomiting in the young infant,Paediatric Surgery,9,0,true,true,false,false
127,c3b78ef0-eeff-4594-b5f7-894c1c086049,questions/c3b78ef0-eeff-4594-b5f7-894c1c086049.json,What is the best way to prevent reperfusion injury of the GIT in burns patients?,Unclassified,4,0,true,true,true,true
128,c3bcc40f-ee8d-429d-bcf1-e50833e825fb,questions/c3bcc40f-ee8d-429d-bcf1-e50833e825fb.json,Genetics,Paediatric Sub-specialties,5,0,true,true,false,false
129,c5ceddb7-479d-49d9-85e8-7abc2056d17f,questions/c5ceddb7-479d-49d9-85e8-7abc2056d17f.json,"Aboriginal girl with high fever, drooling, never been vaccinated. Previously well. What is the causative organism",Community-based Paediatrics,5,0,true,true,false,false
130,c8f758c3-e745-4815-b856-ca37865807f8,questions/c8f758c3-e745-4815-b856-ca37865807f8.json,Hip,Paediatric Surgery,4,0,true,true,false,false
